id,accuracy_rating,allows_infants,allows_pets,available_30,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,guest_overall_satisfaction,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,location_rating,longitude,max_nights,min_nights,monthly_price_factor,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,rate_type,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,amenities,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance
22858494,,,,,4.67,0.5,Studio,0.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsingfors,0,,,,False,False,False,False,Entire apartment,,60.167080000000006,https://www.airbnb.com/api/v2/pdp_listing_details/22858494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kamppi,,24.93492,1125,1,0.0,Kamppi,,,2,17,"Wifi,Kitchen,Heating",,$38,1.0,nightly,,,,,,365,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5,,,0.9,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Shampoo, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Dishes and silverware, Refrigerator, Stove, Private entrance, Bed linens, First aid kit",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16501244,,,,,4.81,1.5,1 bedroom,1.0,3.0,False,CANCEL_MODERATE,,Helsinki,0,,,,False,False,False,True,Entire condominium,,60.16653,https://www.airbnb.com/api/v2/pdp_listing_details/16501244?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,,24.93362,60,1,0.8,Kamppi,,,7,22,"Wifi,Kitchen,Heating",,$58,37.0,nightly,,,,,,327,Entire condominium,Entire home/apt,entire_home,,Entire condominium,5.0,,,0.88,8,217,"Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, High chair, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Luggage dropoff allowed, Long term stays allowed, Bed linens, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
35440127,,,,,4.8,1.0,1 bedroom,1.0,4.0,True,CANCEL_FLEXIBLE,,Vantaa,0,,,,False,False,False,True,Entire apartment,,60.32108,https://www.airbnb.com/api/v2/pdp_listing_details/35440127?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Vantaa,,,24.855220000000003,1125,1,0.0,,,,6,13,"Wifi,Kitchen,Heating",,$42,1.0,nightly,,,,,,91,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,,0.0,0,0,"Elevator, Wifi, Kitchen, Cable TV, Hair dryer, Iron, Shampoo, TV, Heating, Essentials, Laptop-friendly workspace, Hot water, Paid parking off premises, Paid parking on premises, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Private entrance, Bed linens, Fire extinguisher, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
28982354,,,,,4.79,1.0,1 bedroom,1.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,,False,False,False,True,Shared room,,60.158669999999994,https://www.airbnb.com/api/v2/pdp_listing_details/28982354?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ullanlinna,,24.944229999999997,6,1,0.0,Ullanlinna,,,3,3,"Wifi,Kitchen,Heating",,$26,1.0,nightly,,,,,,115,Shared room in apartment,Shared room,shared_room,,Shared room,5.0,,,0.0,0,0,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Shampoo, TV, Washer, Heating, Essentials, Hot water, Paid parking on premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Bed linens, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41969547,,,,,,4.0,1 bedroom,1.0,1.0,True,CANCEL_FLEXIBLE,,Helsinki,0,,,,False,False,True,False,Hostel beds,,60.17884,https://www.airbnb.com/api/v2/pdp_listing_details/41969547?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kruununhaka,,24.95787,1125,1,0.0,Kruununhaka,,,1,14,"Wifi,Heating",,$24,45.0,nightly,,,,,,2,Shared room in hostel,Shared room,shared_room,,Hostel beds,,,,0.0,0,0,"Wifi, Air conditioning, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Children’s books and toys, High chair, Room-darkening shades, Paid parking on premises, Coffee maker, Dishes and silverware, Microwave, Keypad, Luggage dropoff allowed, Long term stays allowed, Bed linens, Shower gel, Waterfront, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
42901953,,,,,,1.0,1 bedroom,1.0,2.0,True,CANCEL_FLEXIBLE,,Helsingfors,11,,,,False,False,True,False,Entire apartment,,60.16563000000001,https://www.airbnb.com/api/v2/pdp_listing_details/42901953?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kamppi,,24.92996,1125,1,0.9,Kamppi,,,4,13,"Wifi,Kitchen,Free parking,Heating",,$55,1.0,nightly,,,,,,1,Entire apartment,Entire home/apt,entire_home,,Entire apartment,,,,0.9,0,2173,"Free parking on premises, Wifi, Kitchen, Cable TV, Hair dryer, Iron, Shampoo, TV, Washer, Heating, Essentials, Pocket wifi, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Long term stays allowed, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
21557494,,,,,4.91,1.0,1 bedroom,1.0,1.0,False,CANCEL_FLEXIBLE,,Helsingfors,0,,,,False,False,False,True,Private room,,60.181259999999995,https://www.airbnb.com/api/v2/pdp_listing_details/21557494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kruununhaka,,24.95034,7,1,0.0,Kruununhaka,,,1,6,"Wifi,Kitchen,Heating",,$49,1.0,nightly,,,,,,162,Private room in apartment,Private room,private_room,,Private room,5.0,,,0.0,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Washer, Hangers, Heating, Essentials, Bed linens, Extra pillows and blankets, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32799667,,,,,4.84,1.0,Studio,0.0,2.0,True,CANCEL_MODERATE,,Helsingfors,27,,,,False,False,False,True,Entire apartment,,60.17029,https://www.airbnb.com/api/v2/pdp_listing_details/32799667?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kluuvi,,24.94813,1125,1,0.0,Kluuvi,,,4,21,"Wifi,Kitchen,Heating",,$64,1.0,nightly,,,,,,138,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,,0.0,33,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, Room-darkening shades, Window guards, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Lockbox, Private entrance, Long term stays allowed, Bed linens, Patio or balcony, Garden or backyard, Carbon monoxide alarm, Smoke alarm, No stairs or steps to enter, Wide entrance for guests, Well-lit path to entrance, Step-free path to entrance, Wide hallways, Accessible-height bed, Step-free shower, No stairs or steps to enter",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
18230458,,,,,4.87,1.5,Studio,0.0,2.0,True,CANCEL_MODERATE,,Helsingfors,16,,,,False,False,False,True,Entire apartment,,60.17771,https://www.airbnb.com/api/v2/pdp_listing_details/18230458?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Etu-Töölö,,24.92905,1125,1,0.9,Etu-Töölö,,,2,12,"Wifi,Kitchen,Heating",,$76,1.0,nightly,,,,,,76,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,,,0.95,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Shampoo, TV, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Cooking basics, Dishes and silverware, Refrigerator, Oven, Stove, Private entrance, Smoke alarm",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25500683,,,,,4.84,1.0,Studio,0.0,2.0,False,CANCEL_MODERATE,,Helsinki,11,,,,False,False,False,True,Entire condominium,,60.165519999999994,https://www.airbnb.com/api/v2/pdp_listing_details/25500683?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,,24.93575,1125,1,0.9,Kamppi,,,3,27,"Wifi,Kitchen,Heating",,$77,37.0,nightly,,,,,,93,Entire condominium,Entire home/apt,entire_home,,Entire condominium,5.0,,,0.93,33,217,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Private entrance, Long term stays allowed, Bed linens, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
