,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat,NIMI
11,11540653,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,nan,Helsinki,11,nan,nan,0,0,0,0,Entire guest suite,60.20571999999999,Helsinki,nan,24.95808,10,1,1.0,Cosy room in a picturesque area,2,14,48,53.0,100%,within an hour,,nan,186,Entire guest suite,Entire home/apt,entire_home,Entire guest suite,3.6-4.4/5.0,,,1.0,11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Itä-Pasila,Itä-Pasila
12,42922180,nan,1.0,1.0,0.0,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,0,1,0,Private room,60.19957,Helsingfors,nan,24.93986,1125,1,0.0,Welcome to a clean private room,2,5,26,40.0,100%,within an hour,,nan,0,Private room in guesthouse,Private room,private_room,Private room,nan,,,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Itä-Pasila,Itä-Pasila
13,42521388,nan,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,3.0,1,CANCEL_MODERATE,nan,Helsinki,0,nan,nan,0,0,0,0,Private room,60.19797,Helsingfors,nan,24.93661,1125,1,0.69,Clean Room w/balcony near City Center & Kallio,3,11,35,1.0,100%,within an hour,,nan,6,Private room in apartment,Private room,private_room,Private room,3.6-4.4/5.0,,,0.9,9,97,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Pikku Huopalahti,Pikku Huopalahti
14,39002105,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,4,nan,nan,0,0,0,1,Private room,60.20298,Helsinki,nan,24.8937,31,1,0.9,"NEW! Seaside marina, Helsinki, tram, sauna!",3,10,35,1.0,100%,within an hour,,nan,32,Private room in apartment,Private room,private_room,Private room,3.6-4.4/5.0,,,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi,Kamppi
15,30949175,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,38,nan,nan,0,0,0,0,Entire apartment,60.16801,Helsinki,nan,24.93224,1125,2,0.0,"Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",4,13,122,1.0,100%,within an hour,,nan,42,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,,,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Taka-Töölö,Taka-Töölö
16,32034311,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsinki,9,nan,nan,0,0,0,1,Private room,60.18211,Helsinki,nan,24.92645,12,1,1.0,A little comfortable room in the center,2,6,55,37.0,100%,within an hour,,nan,65,Private room in condominium,Private room,private_room,Private room,4.5-5.0/5.0,,,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Vilhonvuori,Vilhonvuori
17,43049962,10/10,1.0,1.0,0.0,nan,1.0,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,1,0,Entire apartment,60.18724,Helsinki,10/10,24.96658,7,1,0.0,Studio apartment in kallio Close to city center,2,6,39,1.0,100%,within an hour,42.0,80-94/100,1,Entire apartment,Entire home/apt,entire_home,Entire apartment,nan,9.0,42.0,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Etu-Töölö,Etu-Töölö
18,28617132,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,0,0,Entire apartment,60.17012,Helsinki,10/10,24.92739,10,1,1.0,Cozy & Urban studio @ central heart of Helsinki,3,22,95,1.0,0-49%,unknown,42.0,80-94/100,211,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamppi,Kamppi
19,39774805,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,4,9/10,10/10,0,0,0,1,Private room,60.20296999999999,Helsinki,10/10,24.89352,31,1,0.9,"Budget-Room by tram, Seafront promenade and Sauna!",3,10,32,1.0,100%,within an hour,42.0,80-94/100,27,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,9.0,42.0,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Punavuori,Punavuori
20,36353225,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,0,9/10,10/10,0,0,0,0,Private room,60.16465,Helsingfors,10/10,24.92568,1125,1,1.0,Cozy home in the true heart of Helsinki,2,13,58,1.0,50-89%,within an hour,42.0,80-94/100,84,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi,Kamppi
21,38771885,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,0,0,Entire apartment,60.16065,Helsinki,10/10,24.93381,1125,1,0.8,Cosy studio for 3 in Punavuori district w/ balcony,3,8,81,1.0,50-89%,within a few hours,42.0,80-94/100,25,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Harju,Harju
22,40033351,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,0,0,0,1,Entire condominium,60.1677,Helsinki,10/10,24.93186,1125,2,0.0,Luxurious apartment in Kampin keskus with sauna,4,19,122,37.0,100%,within an hour,42.0,80-94/100,13,Entire condominium,Entire home/apt,entire_home,Entire condominium,4.5-5.0/5.0,9.0,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kontula,Kontula
23,42684617,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,0,0,Entire apartment,60.1883,Helsinki,10/10,24.96263,1125,1,0.85,Stylish down town studio with best connections,2,18,46,1.0,100%,within an hour,42.0,80-94/100,4,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kamppi,Kamppi
24,42596142,10/10,1.0,1.0,0.0,nan,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,0,1,0,Private room,60.23826,Helsinki,10/10,25.07771,1125,1,1.0,Community of Kontula - Small cozy private room,1,6,26,1.0,0-49%,unknown,42.0,80-94/100,2,Private room in apartment,Private room,private_room,Private room,nan,9.0,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi,Kluuvi
25,41758970,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,0,0,Entire apartment,60.16826999999999,Helsinki,10/10,24.92888,1125,1,1.0,In the heart of the city: 1BR apartment w/ balcony,4,13,93,1.0,50-89%,within a few hours,42.0,80-94/100,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Alppila,Alppila
26,24045106,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,43,9/10,10/10,0,0,0,1,Entire condominium,60.17026,Helsingfors,10/10,24.94564,1124,1,0.85,Unique Home,4,11,116,37.0,100%,within an hour,42.0,80-94/100,22,Entire condominium,Entire home/apt,entire_home,Entire condominium,4.5-5.0/5.0,9.0,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Etu-Töölö,Etu-Töölö
27,18521789,10/10,1.0,1.0,0.0,4.5-5.0/5.0,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,15,9/10,10/10,0,0,0,1,Private room,60.1896,Helsinki,10/10,24.94669,120,1,0.72,Private room in Downtown. Linnanmäki. Kallio,2,13,58,1.0,100%,within an hour,42.0,80-94/100,105,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,9.0,42.0,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Myllypuro,Myllypuro
28,33890366,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,0,CANCEL_MODERATE,9/10,Helsinki,22,9/10,10/10,0,0,0,1,Entire loft,60.17661999999999,Helsingfors,10/10,24.92945,1125,1,0.0,Cozy loft apartment in best location!,4,9,109,35.0,100%,within a few hours,42.0,80-94/100,130,Entire loft,Entire home/apt,entire_home,Entire loft,4.5-5.0/5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Kamppi,Kamppi
