,id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
27,758206,within an hour,100%,1,2,0,Stockport District,House,Private room,2,1.5,1.0,1.0,45,0,0,1,15,1,330,88,67,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,flexible,2355.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,204.0
28,890462,within a day,100%,0,1,1,Trafford District,House,Private room,1,1.0,1.0,1.0,34,0,0,1,0,2,1125,48,80,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2274.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4+ years,127.0
29,912553,within an hour,100%,1,3,0,Didsbury West,House,Private room,2,1.0,1.0,1.0,34,0,0,1,8,1,90,51,398,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2451.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,39.0
30,917497,within a few hours,100%,1,4,1,Chorlton,House,Private room,1,1.0,1.0,1.0,32,0,0,1,0,3,60,0,53,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,85.0
31,917498,within a few hours,100%,1,4,1,Chorlton,House,Private room,1,1.0,1.0,1.0,35,0,0,1,20,3,60,78,65,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,63.0
32,917504,within a few hours,100%,1,4,1,Chorlton,House,Private room,2,1.0,1.0,1.0,45,0,0,1,25,3,60,52,130,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,109.0
33,968898,unknown,unknown,0,1,0,Bradford,House,Private room,1,1.0,1.0,1.0,66,100,15,1,10,7,1125,90,0,,,,,,,,0,strict_14_with_grace_period,2229.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
34,1033531,within a few hours,100%,0,5,1,Moss Side,House,Private room,1,1.0,1.0,1.0,20,120,0,1,0,1,365,61,15,80-94/100,9/10,0-8/10,9/10,9/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2653.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,164.0
35,1095952,unknown,unknown,0,1,1,Levenshulme,House,Shared room,3,1.0,1.0,2.0,28,0,0,1,5,6,14,90,188,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,1,strict_14_with_grace_period,2213.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,684.0
36,1105205,within an hour,100%,1,1,1,Hulme,Apartment,Private room,2,1.0,1.0,1.0,36,0,5,1,0,2,5,0,169,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2445.0,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,134.0
37,1111565,within an hour,100%,1,4,1,Didsbury West,Apartment,Entire home/apt,3,2.0,2.0,2.0,75,200,10,1,0,7,1125,64,23,80-94/100,9/10,0-8/10,9/10,9/10,9/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,504.0
38,1113620,within an hour,100%,1,4,1,Stockport District,Apartment,Entire home/apt,4,2.0,2.0,3.0,70,200,10,3,4,7,1125,76,20,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,98.0
39,1114538,within an hour,100%,1,4,1,Stockport District,Apartment,Entire home/apt,3,1.5,2.0,2.0,68,200,10,1,0,7,1125,71,22,80-94/100,9/10,9/10,9/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,411.0
40,1117458,within an hour,100%,1,4,1,Didsbury East,Apartment,Entire home/apt,4,2.0,2.0,3.0,75,200,10,3,4,7,1125,15,19,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,215.0
41,1144986,within a few hours,100%,1,1,1,City Centre,Apartment,Private room,1,1.0,1.0,1.0,40,0,0,1,20,1,1125,81,265,80-94/100,10/10,9/10,10/10,10/10,10/10,10/10,0,moderate,2182.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,52.0
42,1162564,within a few hours,50-89%,0,3,0,Withington,House,Private room,2,1.5,1.0,0.0,35,400,30,1,20,1,1125,90,22,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,1,flexible,2168.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4+ years,123.0
43,1174058,unknown,unknown,0,1,0,Salford District,Apartment,Private room,1,1.0,1.0,1.0,66,0,0,1,0,3,6,90,0,,,,,,,,0,flexible,2154.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
44,1199469,within an hour,100%,1,1,0,Chorlton Park,House,Entire home/apt,4,1.5,2.0,3.0,150,500,0,1,0,2,1125,48,104,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2146.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4+ years,50.0
45,1216654,within a day,100%,0,1,1,Didsbury East,Apartment,Private room,2,1.0,1.0,1.0,32,0,0,1,0,2,28,89,102,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2575.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,87.0
46,1219648,within an hour,100%,0,4,0,Oldham District,House,Entire home/apt,5,1.5,2.0,3.0,49,0,20,4,0,1,365,54,181,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2140.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,44.0
47,1219714,within an hour,100%,0,4,0,Tameside District,House,Entire home/apt,5,1.5,2.0,4.0,49,0,20,1,0,1,365,47,219,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,1,strict_14_with_grace_period,2140.0,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,50.0
48,1225615,within a few hours,50-89%,0,3,0,Withington,House,Private room,2,1.5,1.0,1.0,50,400,0,1,15,1,1125,89,15,95-100/100,10/10,10/10,10/10,10/10,9/10,9/10,0,flexible,2168.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,316.0
49,1236118,within a day,50-89%,0,2,0,Trafford District,Apartment,Entire home/apt,4,1.0,1.0,2.0,65,0,10,1,10,1,90,61,41,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2140.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,1569.0
50,1241309,within an hour,100%,0,3,0,Trafford District,House,Entire home/apt,4,1.0,2.0,3.0,100,0,30,1,0,7,365,15,0,,,,,,,,0,strict_14_with_grace_period,2133.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
51,1329093,within an hour,100%,0,1,1,Sharston,House,Private room,2,1.0,1.0,1.0,30,0,0,1,6,1,30,2,225,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,flexible,2319.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,52.0
52,1329094,within an hour,100%,0,1,1,Sharston,House,Private room,2,1.0,1.0,1.0,38,0,0,1,8,1,30,75,83,80-94/100,10/10,9/10,9/10,9/10,10/10,9/10,1,flexible,2319.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,297.0
53,1343251,within a day,100%,0,0,0,Longsight,Apartment,Entire home/apt,4,1.0,2.0,2.0,75,0,20,2,15,1,1125,0,3,80-94/100,9/10,9/10,0-8/10,0-8/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2323.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,107.0
54,1362964,within an hour,100%,1,2,0,Stockport District,House,Private room,2,1.5,1.0,1.0,45,0,0,1,15,1,365,90,42,80-94/100,10/10,10/10,10/10,9/10,10/10,9/10,0,flexible,2355.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,148.0
55,1428087,within a few hours,100%,0,1,1,Chorlton,Apartment,Private room,2,1.0,1.0,1.0,40,0,10,1,20,1,30,18,35,95-100/100,10/10,9/10,10/10,10/10,10/10,9/10,0,moderate,2086.0,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,547.0
56,1464323,within an hour,100%,0,3,1,Moss Side,House,Private room,2,2.5,1.0,1.0,30,100,20,1,10,3,730,73,24,80-94/100,9/10,0-8/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2598.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,127.0
57,1519987,within an hour,100%,1,1,1,Hulme,Apartment,Private room,2,1.0,1.0,1.0,34,0,10,1,20,2,35,69,113,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2066.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4+ years,57.0
58,1540181,a few days or more,0-49%,0,7,0,City Centre,Apartment,Entire home/apt,9,1.0,2.0,6.0,129,299,0,3,25,3,1125,87,26,80-94/100,9/10,9/10,10/10,9/10,9/10,0-8/10,1,strict_14_with_grace_period,2128.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,400.0
59,1540853,within a few hours,100%,1,1,1,Ancoats and Clayton,Apartment,Entire home/apt,4,1.0,1.0,2.0,67,300,25,2,30,3,1125,70,123,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2750.0,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,42.0
60,1541073,a few days or more,0-49%,0,7,0,Whalley Range,Apartment,Private room,2,1.0,1.0,2.0,45,299,0,1,0,4,100,90,0,,,,,,,,0,strict_14_with_grace_period,2128.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
61,1545417,within an hour,100%,1,1,1,Salford District,House,Private room,1,1.0,1.0,1.0,33,0,0,1,10,2,30,78,120,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2204.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,72.0
62,1602166,within a few hours,50-89%,0,2,0,Didsbury West,Apartment,Entire home/apt,4,2.0,1.0,3.0,99,250,60,1,0,2,45,88,14,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2048.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4+ years,290.0
63,1608337,unknown,unknown,1,1,0,Ancoats and Clayton,House,Private room,2,1.5,1.0,1.0,29,0,19,1,5,2,14,14,14,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2046.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,127.0
64,1625515,within a day,100%,0,2,1,Trafford District,House,Private room,1,1.5,1.0,0.0,13,100,15,1,0,1,1125,70,17,80-94/100,10/10,9/10,9/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2042.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,226.0
65,1658651,within a day,100%,0,2,1,Trafford District,House,Private room,1,1.0,1.0,1.0,15,80,15,1,0,3,1125,71,34,80-94/100,9/10,0-8/10,9/10,9/10,9/10,9/10,0,strict_14_with_grace_period,2042.0,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,259.0
66,1685231,within an hour,100%,0,1,1,Cheetham,Apartment,Entire home/apt,5,1.0,1.0,2.0,60,500,35,1,15,1,1125,87,102,80-94/100,9/10,9/10,9/10,9/10,10/10,9/10,1,moderate,1973.0,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4+ years,51.0
67,1692442,a few days or more,0-49%,0,7,0,City Centre,Apartment,Entire home/apt,8,2.0,2.0,3.0,159,299,0,3,29,1,300,90,10,0-79/100,0-8/10,0-8/10,0-8/10,0-8/10,10/10,0-8/10,0,strict_14_with_grace_period,2128.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,551.0
