accuracy_rating,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_new_listing,is_super_host,latitude,location_rating,longitude,max_nights,min_nights,monthly_price_factor,neighborhood,person_capacity,picture_count,price_string,review_score,reviews_count,room_type,space_type,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,geometry
0.0,,False,4.61,1.0,1.0,1.0,False,CANCEL_FLEXIBLE,nan,Helsinki,11,nan,nan,False,False,False,60.20571999999999,nan,24.95808,10,1,1.0,,2,14,48,nan,186,Entire home/apt,Entire guest suite,nan,0.0,1.0,11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,POINT (60.20571999999999 24.95808)
0.0,,False,0.0,1.0,1.0,2.0,True,CANCEL_FLEXIBLE,nan,Helsingfors,0,nan,nan,False,True,False,60.19957,nan,24.93986,1125,1,0.0,,2,5,26,nan,0,Private room,Private room,nan,0.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,POINT (60.19957 24.93986)
0.0,,False,4.33,1.0,1.0,3.0,True,CANCEL_MODERATE,nan,Helsingfors,0,nan,nan,False,False,False,60.19797,nan,24.93661,1125,1,0.69,Taka-Töölö,3,11,35,nan,6,Private room,Private room,nan,0.0,0.9,9,97,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,POINT (60.19797 24.93661)
0.0,,False,4.66,1.5,1.0,1.0,True,CANCEL_FLEXIBLE,nan,Helsinki,4,nan,nan,False,False,True,60.20298,nan,24.8937,31,1,0.9,Ruskeasuo,3,10,35,nan,32,Private room,Private room,nan,0.0,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.20298 24.8937)
0.0,,False,4.62,1.0,1.0,2.0,True,CANCEL_MODERATE,nan,Helsinki,38,nan,nan,False,False,False,60.16801,nan,24.93224,1125,2,0.0,Kamppi,4,13,122,nan,42,Entire home/apt,Entire apartment,nan,0.0,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.16801 24.93224)
0.0,,False,4.88,1.5,1.0,2.0,True,CANCEL_FLEXIBLE,nan,Helsinki,9,nan,nan,False,False,True,60.18211,nan,24.92645,12,1,1.0,Taka-Töölö,2,6,55,nan,65,Private room,Private room,nan,0.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,POINT (60.18211 24.92645)
10.0,True,False,0.0,1.0,1.0,2.0,True,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,False,True,False,60.18724,10/10,24.96658,7,1,0.0,,2,6,39,80-94/100,1,Entire home/apt,Entire apartment,9/10,42.0,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.18724 24.96658)
10.0,True,False,4.82,1.0,0.0,1.0,True,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,False,False,False,60.17012,10/10,24.92739,10,1,1.0,Etu-Töölö,3,22,95,80-94/100,211,Entire home/apt,Entire apartment,9/10,42.0,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (60.17012 24.92739)
10.0,True,False,4.81,1.5,1.0,1.0,True,CANCEL_FLEXIBLE,9/10,Helsinki,4,9/10,10/10,False,False,True,60.20296999999999,10/10,24.89352,31,1,0.9,Ruskeasuo,3,10,32,80-94/100,27,Private room,Private room,9/10,42.0,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.20296999999999 24.89352)
10.0,True,False,4.75,1.0,1.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsingfors,0,9/10,10/10,False,False,False,60.16465,10/10,24.92568,1125,1,1.0,Kamppi,2,13,58,80-94/100,84,Private room,Private room,9/10,42.0,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,POINT (60.16465 24.92568)
