,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
3897,38840022,2016-01-24,within an hour,100%,0,18,1,Longsight,Apartment,Entire home/apt,6,1.0,3.0,3.0,59,$0.00,39,3,10,7,1125,86,2,2019-10-25,80-94/100,9/10,9/10,10/10,9/10,10/10,10/10,1,strict_14_with_grace_period,1171.0,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0-6 months,122.0
3898,38843028,2017-05-17,within a few hours,100%,0,1,0,Old Moat,Other,Private room,2,1.0,1.0,1.0,55,$0.00,10,1,0,1,7,1,0,,nan,nan,nan,nan,nan,nan,nan,1,flexible,692.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,
3899,38843319,2018-05-24,within an hour,100%,1,1,0,Bradford,Other,Private room,2,1.5,1.0,1.0,32,,0,1,0,1,1125,37,61,2019-09-25,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,320.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6-12 months,36.0
3900,38846507,2012-12-27,within a few hours,100%,0,1,0,Stockport District,House,Private room,1,1.0,1.0,1.0,20,,20,1,10,3,90,76,1,2019-12-27,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2294.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,115.0
3901,38846668,2018-10-18,within an hour,100%,0,0,0,Ardwick,House,Private room,2,1.5,1.0,1.0,38,,0,1,0,2,22,81,12,2019-10-27,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,173.0,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,36.0
3902,38863867,2014-01-20,within an hour,100%,1,8,1,Trafford District,Other,Private room,4,1.0,1.0,4.0,125,$0.00,0,2,10,1,1125,81,0,,nan,nan,nan,nan,nan,nan,nan,1,moderate,1905.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,nan,
3903,38869439,2018-11-01,within an hour,100%,0,17,0,Higher Blackley,House,Private room,1,1.5,1.0,1.0,22,$0.00,6,1,15,1,100,0,11,2019-09-27,0-79/100,9/10,0-8/10,9/10,9/10,0-8/10,0-8/10,1,strict_14_with_grace_period,159.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6-12 months,85.0
3904,38870416,2014-01-20,within an hour,100%,1,8,1,Trafford District,Other,Private room,1,2.0,1.0,1.0,45,$0.00,0,1,0,1,1125,72,2,2019-11-15,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,1905.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,128.0
3905,38878451,2019-04-17,within a few hours,100%,0,4,0,Moss Side,House,Shared room,1,2.5,1.0,1.0,15,,0,1,0,1,91,14,13,2019-09-26,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,-8.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,110.0
3906,38888298,2017-02-12,within an hour,100%,0,1,0,Stockport District,Other,Entire home/apt,6,1.0,3.0,5.0,150,$0.00,30,1,0,2,1125,67,13,2019-10-13,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,1,flexible,786.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6-12 months,61.0
