,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
0,68951,2011-01-10,within a few hours,100%,1,1,1,Bolton District,House,Entire home/apt,4,1.0,2.0,6.0,65,$150.00,25,4,10,2,180,0,82,2012-03-12,95-100/100,10/10,9/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,3011.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4+ years,200.0
1,85109,2011-03-27,within an hour,100%,1,4,1,City Centre,Apartment,Private room,2,1.5,1.0,1.0,60,$0.00,0,2,0,2,14,88,434,2011-05-02,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2935.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,35.0
2,157612,2011-06-29,within a few hours,50-89%,1,3,0,Salford District,Apartment,Entire home/apt,3,1.0,2.0,2.0,34,$150.00,20,1,14,2,365,47,96,2012-02-13,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2841.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,134.0
3,159189,2011-06-30,unknown,unknown,0,1,0,Rochdale District,House,Shared room,2,1.0,1.0,2.0,55,$100.00,0,1,30,1,3,90,0,,nan,nan,nan,nan,nan,nan,nan,0,flexible,2840.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,
4,283495,2011-12-06,within a few hours,100%,0,1,0,Rochdale District,House,Private room,2,1.0,1.0,1.0,60,,0,1,0,3,1125,0,10,2015-04-26,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2681.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,624.0
5,299194,2011-12-28,within an hour,100%,0,1,0,Stockport District,House,Entire home/apt,4,1.5,1.0,1.0,50,,10,1,15,2,180,83,254,2012-04-08,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,1,flexible,2659.0,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,64.0
6,310742,2012-01-13,unknown,unknown,0,1,1,Ancoats and Clayton,Apartment,Private room,1,1.0,1.0,1.0,37,$150.00,0,1,0,180,365,0,64,2012-01-31,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,1,flexible,2643.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,829.0
7,332580,2012-02-03,within an hour,100%,1,8,1,City Centre,Apartment,Private room,2,1.0,1.0,1.0,48,,6,2,16,2,1125,0,322,2012-09-21,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2622.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,146.0
8,360142,2012-02-27,within an hour,100%,0,3,1,Moss Side,House,Private room,2,2.0,1.0,1.0,32,$100.00,20,1,15,3,730,67,46,2012-05-28,80-94/100,9/10,0-8/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2598.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,172.0
9,363327,2012-01-03,within a few hours,100%,0,5,1,Moss Side,House,Private room,1,1.0,1.0,1.0,20,$120.00,0,1,0,7,365,83,27,2013-10-30,80-94/100,9/10,0-8/10,9/10,10/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2653.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,42.0
10,387073,2012-03-17,within a day,100%,0,4,0,Salford District,House,Entire home/apt,11,2.5,5.0,11.0,90,,60,1,7,2,30,72,236,2012-07-02,80-94/100,9/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2579.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4+ years,45.0
11,390028,2012-03-18,within an hour,100%,0,1,1,Stockport District,House,Private room,1,1.0,1.0,0.0,36,,0,1,0,2,30,2,40,2013-07-21,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2578.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,150.0
12,391046,2012-03-18,unknown,unknown,0,1,1,Wigan District,House,Entire home/apt,4,2.5,3.0,2.0,65,$400.00,40,2,19,30,1125,0,26,2012-03-26,80-94/100,10/10,9/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,2578.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,647.0
13,411843,2012-04-01,within an hour,100%,0,12,0,Hulme,Apartment,Entire home/apt,6,1.0,2.0,3.0,150,$250.00,50,4,15,2,365,13,216,2012-04-08,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,1,moderate,2564.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,50.0
14,412687,2012-04-02,within an hour,100%,1,1,1,Trafford District,Apartment,Entire home/apt,2,1.0,1.0,1.0,58,$150.00,0,1,10,2,30,70,272,2012-08-04,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2563.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4+ years,49.0
15,554282,2009-01-22,within an hour,100%,0,4,1,Trafford District,House,Private room,6,2.0,1.0,1.0,40,$150.00,15,1,20,1,1125,86,104,2012-07-08,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,3729.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,52.0
16,556920,2012-06-25,within a few hours,100%,1,1,0,Ancoats and Clayton,Apartment,Private room,2,1.0,1.0,1.0,36,$0.00,11,1,0,2,150,66,154,2016-08-21,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2479.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2-3 years,111.0
17,568034,2012-07-01,within an hour,100%,1,3,1,Chorlton,House,Private room,2,1.0,1.0,1.0,35,$100.00,0,1,5,1,60,68,330,2012-08-08,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2473.0,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4+ years,46.0
18,610613,2012-07-23,within an hour,100%,1,3,0,Didsbury West,House,Private room,2,1.0,1.0,1.0,31,,0,1,8,1,90,54,468,2012-08-09,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2451.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,44.0
19,651097,2012-08-15,within an hour,100%,1,1,0,City Centre,Apartment,Private room,2,1.5,1.0,1.0,53,$0.00,0,1,20,2,1125,83,241,2012-08-27,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2428.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,35.0
20,681857,2012-09-04,within an hour,100%,0,2,1,Ancoats and Clayton,Apartment,Entire home/apt,4,3.0,2.0,2.0,85,,20,4,0,1,1125,87,216,2013-05-06,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2408.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4+ years,43.0
21,711322,2012-07-28,within an hour,100%,1,3,0,Hulme,House,Private room,1,2.0,1.0,1.0,35,$0.00,10,1,30,1,356,70,28,2013-07-08,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,0,moderate,2446.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,149.0
22,711323,2012-07-28,within an hour,100%,1,3,0,Trafford District,House,Private room,1,1.0,1.0,0.0,37,,10,1,30,2,356,89,33,2013-06-10,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0,flexible,2446.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,57.0
23,725938,2011-11-09,within a few hours,100%,1,1,0,Old Moat,Apartment,Entire home/apt,2,1.0,1.0,1.0,55,$200.00,47,1,0,3,89,15,194,2012-10-14,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2708.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4+ years,118.0
24,735851,2012-10-11,unknown,unknown,0,2,1,Stockport District,House,Entire home/apt,4,1.5,2.0,6.0,90,,10,3,10,2,1125,50,65,2013-09-30,80-94/100,9/10,9/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,2371.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,141.0
25,753374,2012-10-24,within an hour,100%,1,2,0,Burnage,House,Private room,1,1.5,1.0,1.0,25,$0.00,5,1,10,2,30,64,105,2012-11-27,80-94/100,10/10,9/10,10/10,10/10,9/10,10/10,0,flexible,2358.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,73.0
26,754650,2011-06-29,within a few hours,50-89%,1,3,0,Salford District,House,Private room,3,1.0,2.0,2.0,30,$150.00,25,1,15,2,180,52,20,2013-01-28,80-94/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2841.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,679.0
27,758206,2012-10-27,within an hour,100%,1,2,0,Stockport District,House,Private room,2,1.5,1.0,1.0,45,,0,1,15,1,330,88,67,2012-11-26,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,flexible,2355.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,204.0
28,890462,2013-01-16,within a day,100%,0,1,1,Trafford District,House,Private room,1,1.0,1.0,1.0,34,,0,1,0,2,1125,48,80,2013-02-22,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2274.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4+ years,127.0
29,912553,2012-07-23,within an hour,100%,1,3,0,Didsbury West,House,Private room,2,1.0,1.0,1.0,34,,0,1,8,1,90,51,398,2013-04-21,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2451.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,39.0
30,917497,2013-01-31,within a few hours,100%,1,4,1,Chorlton,House,Private room,1,1.0,1.0,1.0,32,$0.00,0,1,0,3,60,0,53,2013-04-08,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,85.0
31,917498,2013-01-31,within a few hours,100%,1,4,1,Chorlton,House,Private room,1,1.0,1.0,1.0,35,$0.00,0,1,20,3,60,78,65,2013-04-08,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,63.0
32,917504,2013-01-31,within a few hours,100%,1,4,1,Chorlton,House,Private room,2,1.0,1.0,1.0,45,$0.00,0,1,25,3,60,52,130,2013-03-09,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2259.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,109.0
33,968898,2013-03-02,unknown,unknown,0,1,0,Bradford,House,Private room,1,1.0,1.0,1.0,66,$100.00,15,1,10,7,1125,90,0,,nan,nan,nan,nan,nan,nan,nan,0,strict_14_with_grace_period,2229.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,
34,1033531,2012-01-03,within a few hours,100%,0,5,1,Moss Side,House,Private room,1,1.0,1.0,1.0,20,$120.00,0,1,0,1,365,61,15,2013-04-21,80-94/100,9/10,0-8/10,9/10,9/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2653.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,164.0
35,1095952,2013-03-18,unknown,unknown,0,1,1,Levenshulme,House,Shared room,3,1.0,1.0,2.0,28,,0,1,5,6,14,90,188,2013-10-22,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,1,strict_14_with_grace_period,2213.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,684.0
36,1105205,2012-07-29,within an hour,100%,1,1,1,Hulme,Apartment,Private room,2,1.0,1.0,1.0,36,,5,1,0,2,5,0,169,2013-05-06,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2445.0,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,134.0
37,1111565,2013-04-26,within an hour,100%,1,4,1,Didsbury West,Apartment,Entire home/apt,3,2.0,2.0,2.0,75,$200.00,10,1,0,7,1125,64,23,2014-04-01,80-94/100,9/10,0-8/10,9/10,9/10,9/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,504.0
38,1113620,2013-04-26,within an hour,100%,1,4,1,Stockport District,Apartment,Entire home/apt,4,2.0,2.0,3.0,70,$200.00,10,3,4,7,1125,76,20,2014-08-10,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,98.0
39,1114538,2013-04-26,within an hour,100%,1,4,1,Stockport District,Apartment,Entire home/apt,3,1.5,2.0,2.0,68,$200.00,10,1,0,7,1125,71,22,2013-08-17,80-94/100,9/10,9/10,9/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,411.0
40,1117458,2013-04-26,within an hour,100%,1,4,1,Didsbury East,Apartment,Entire home/apt,4,2.0,2.0,3.0,75,$200.00,10,3,4,7,1125,15,19,2014-07-21,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2174.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,215.0
41,1144986,2013-04-18,within a few hours,100%,1,1,1,City Centre,Apartment,Private room,1,1.0,1.0,1.0,40,,0,1,20,1,1125,81,265,2013-05-26,80-94/100,10/10,9/10,10/10,10/10,10/10,10/10,0,moderate,2182.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,52.0
42,1162564,2013-05-02,within a few hours,50-89%,0,3,0,Withington,House,Private room,2,1.5,1.0,0.0,35,$400.00,30,1,20,1,1125,90,22,2015-05-26,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,1,flexible,2168.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4+ years,123.0
43,1174058,2013-05-16,unknown,unknown,0,1,0,Salford District,Apartment,Private room,1,1.0,1.0,1.0,66,,0,1,0,3,6,90,0,,nan,nan,nan,nan,nan,nan,nan,0,flexible,2154.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,
44,1199469,2013-05-24,within an hour,100%,1,1,0,Chorlton Park,House,Entire home/apt,4,1.5,2.0,3.0,150,$500.00,0,1,0,2,1125,48,104,2013-07-23,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2146.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4+ years,50.0
45,1216654,2012-03-21,within a day,100%,0,1,1,Didsbury East,Apartment,Private room,2,1.0,1.0,1.0,32,,0,1,0,2,28,89,102,2013-06-11,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2575.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,87.0
46,1219648,2013-05-30,within an hour,100%,0,4,0,Oldham District,House,Entire home/apt,5,1.5,2.0,3.0,49,$0.00,20,4,0,1,365,54,181,2014-07-06,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2140.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,44.0
47,1219714,2013-05-30,within an hour,100%,0,4,0,Tameside District,House,Entire home/apt,5,1.5,2.0,4.0,49,$0.00,20,1,0,1,365,47,219,2014-02-22,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,1,strict_14_with_grace_period,2140.0,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,50.0
48,1225615,2013-05-02,within a few hours,50-89%,0,3,0,Withington,House,Private room,2,1.5,1.0,1.0,50,$400.00,0,1,15,1,1125,89,15,2013-07-14,95-100/100,10/10,10/10,10/10,10/10,9/10,9/10,0,flexible,2168.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,316.0
49,1236118,2013-05-30,within a day,50-89%,0,2,0,Trafford District,Apartment,Entire home/apt,4,1.0,1.0,2.0,65,,10,1,10,1,90,61,41,2014-09-06,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2140.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,1569.0
50,1241309,2013-06-06,within an hour,100%,0,3,0,Trafford District,House,Entire home/apt,4,1.0,2.0,3.0,100,$0.00,30,1,0,7,365,15,0,,nan,nan,nan,nan,nan,nan,nan,0,strict_14_with_grace_period,2133.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,
51,1329093,2012-12-02,within an hour,100%,0,1,1,Sharston,House,Private room,2,1.0,1.0,1.0,30,,0,1,6,1,30,2,225,2014-03-29,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,flexible,2319.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,52.0
52,1329094,2012-12-02,within an hour,100%,0,1,1,Sharston,House,Private room,2,1.0,1.0,1.0,38,,0,1,8,1,30,75,83,2014-04-07,80-94/100,10/10,9/10,9/10,9/10,10/10,9/10,1,flexible,2319.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,297.0
53,1343251,2012-11-28,within a day,100%,0,0,0,Longsight,Apartment,Entire home/apt,4,1.0,2.0,2.0,75,,20,2,15,1,1125,0,3,2013-10-27,80-94/100,9/10,9/10,0-8/10,0-8/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2323.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,107.0
54,1362964,2012-10-27,within an hour,100%,1,2,0,Stockport District,House,Private room,2,1.5,1.0,1.0,45,,0,1,15,1,365,90,42,2013-11-26,80-94/100,10/10,10/10,10/10,9/10,10/10,9/10,0,flexible,2355.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,148.0
55,1428087,2013-07-23,within a few hours,100%,0,1,1,Chorlton,Apartment,Private room,2,1.0,1.0,1.0,40,$0.00,10,1,20,1,30,18,35,2013-12-08,95-100/100,10/10,9/10,10/10,10/10,10/10,9/10,0,moderate,2086.0,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,547.0
56,1464323,2012-02-27,within an hour,100%,0,3,1,Moss Side,House,Private room,2,2.5,1.0,1.0,30,$100.00,20,1,10,3,730,73,24,2013-10-22,80-94/100,9/10,0-8/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2598.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,127.0
57,1519987,2013-08-12,within an hour,100%,1,1,1,Hulme,Apartment,Private room,2,1.0,1.0,1.0,34,,10,1,20,2,35,69,113,2013-09-25,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2066.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4+ years,57.0
58,1540181,2013-06-11,a few days or more,0-49%,0,7,0,City Centre,Apartment,Entire home/apt,9,1.0,2.0,6.0,129,$299.00,0,3,25,3,1125,87,26,2013-10-02,80-94/100,9/10,9/10,10/10,9/10,9/10,0-8/10,1,strict_14_with_grace_period,2128.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,400.0
59,1540853,2011-09-28,within a few hours,100%,1,1,1,Ancoats and Clayton,Apartment,Entire home/apt,4,1.0,1.0,2.0,67,$300.00,25,2,30,3,1125,70,123,2013-12-21,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2750.0,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,42.0
60,1541073,2013-06-11,a few days or more,0-49%,0,7,0,Whalley Range,Apartment,Private room,2,1.0,1.0,2.0,45,$299.00,0,1,0,4,100,90,0,,nan,nan,nan,nan,nan,nan,nan,0,strict_14_with_grace_period,2128.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,
61,1545417,2013-03-27,within an hour,100%,1,1,1,Salford District,House,Private room,1,1.0,1.0,1.0,33,,0,1,10,2,30,78,120,2013-09-28,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2204.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,72.0
62,1602166,2013-08-30,within a few hours,50-89%,0,2,0,Didsbury West,Apartment,Entire home/apt,4,2.0,1.0,3.0,99,$250.00,60,1,0,2,45,88,14,2015-06-30,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,2048.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4+ years,290.0
63,1608337,2013-09-01,unknown,unknown,1,1,0,Ancoats and Clayton,House,Private room,2,1.5,1.0,1.0,29,$0.00,19,1,5,2,14,14,14,2019-09-08,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2046.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,127.0
64,1625515,2013-09-05,within a day,100%,0,2,1,Trafford District,House,Private room,1,1.5,1.0,0.0,13,$100.00,15,1,0,1,1125,70,17,2013-09-22,80-94/100,10/10,9/10,9/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2042.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,226.0
65,1658651,2013-09-05,within a day,100%,0,2,1,Trafford District,House,Private room,1,1.0,1.0,1.0,15,$80.00,15,1,0,3,1125,71,34,2013-09-30,80-94/100,9/10,0-8/10,9/10,9/10,9/10,9/10,0,strict_14_with_grace_period,2042.0,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,259.0
