id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,response_rate,response_time,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
39002105,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,4,,,0,1,,31,1,0.9,3,10,35,0-49%,unknown,,32,Private room,3.6-4.4/5.0,,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Pikku Huopalahti
30949175,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,,Helsinki,38,,,0,0,,1125,2,0.0,4,13,122,100%,unknown,,42,Entire home/apt,3.6-4.4/5.0,,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi
32034311,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,9,,,0,1,,12,1,1.0,2,6,55,100%,within an hour,,65,Private room,4.5-5.0/5.0,,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Taka-Töölö
43049962,10/10,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,7,1,0.0,2,6,39,0-49%,unknown,80-94/100,1,Entire home/apt,,9/10,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Vilhonvuori
28617132,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,10,1,1.0,3,22,95,0-49%,unknown,80-94/100,211,Entire home/apt,4.5-5.0/5.0,9/10,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etu-Töölö
39774805,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,4,9/10,10/10,0,1,10/10,31,1,0.9,3,10,32,0-49%,unknown,80-94/100,27,Private room,4.5-5.0/5.0,9/10,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Pikku Huopalahti
36353225,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,1.0,2,13,58,50-89%,within an hour,80-94/100,84,Private room,4.5-5.0/5.0,9/10,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
38771885,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.8,3,8,81,50-89%,unknown,80-94/100,25,Entire home/apt,3.6-4.4/5.0,9/10,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Punavuori
40033351,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,0,1,10/10,1125,2,0.0,4,19,122,90-99%,unknown,80-94/100,13,Entire home/apt,4.5-5.0/5.0,9/10,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kamppi
42684617,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.85,2,18,46,100%,unknown,80-94/100,4,Entire home/apt,4.5-5.0/5.0,9/10,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Harju
42596142,10/10,1.0,1.0,0.0,no reviews,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,1125,1,1.0,1,6,26,0-49%,unknown,80-94/100,2,Private room,,9/10,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kontula
41758970,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,1.0,4,13,93,50-89%,within an hour,80-94/100,3,Entire home/apt,3.6-4.4/5.0,9/10,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kamppi
24045106,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,43,9/10,10/10,0,1,10/10,1124,1,0.85,4,11,116,100%,within an hour,80-94/100,22,Entire home/apt,4.5-5.0/5.0,9/10,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kluuvi
18521789,10/10,1.0,1.0,0.0,4.5-5.0/5.0,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,15,9/10,10/10,0,1,10/10,120,1,0.72,2,13,58,100%,within an hour,80-94/100,105,Private room,4.5-5.0/5.0,9/10,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Alppila
33890366,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,0,CANCEL_MODERATE,9/10,Helsinki,22,9/10,10/10,0,1,10/10,1125,1,0.0,4,9,109,100%,within a few hours,80-94/100,130,Entire home/apt,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Etu-Töölö
43064194,10/10,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,60,1,0.55,2,4,46,100%,within an hour,80-94/100,0,Private room,,9/10,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Etu-Töölö
36196446,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.0,2,9,41,100%,within an hour,80-94/100,27,Private room,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Myllypuro
34367632,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,38,10/10,10/10,0,0,10/10,1125,2,0.0,4,12,122,100%,within an hour,80-94/100,21,Entire home/apt,3.6-4.4/5.0,9/10,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kamppi
29644231,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,0,1,10/10,1125,1,0.8,2,16,101,100%,within an hour,80-94/100,158,Entire home/apt,4.5-5.0/5.0,9/10,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
3408263,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,26,10/10,10/10,0,0,10/10,1124,1,0.74,2,9,75,50-89%,within an hour,80-94/100,606,Entire home/apt,3.6-4.4/5.0,9/10,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Vallila
